epoch,beta_const,beta_anneal,recon_const,recon_anneal,kl_const,kl_anneal
0,4.0,0.0,155.4266881942749,151.94952487945557,0.1595744527876377,3.4625010825693607
1,4.0,0.1,97.27228736877441,74.95623826980591,1.3249571546912193,65.76342344284058
2,4.0,0.2,70.66943073272705,58.973628520965576,0.9840694516897202,62.360772371292114
3,4.0,0.3,61.58506155014038,59.05797004699707,0.5959756784141064,10.319510996341705
4,4.0,0.4,58.030869483947754,56.88628101348877,0.40470749512314796,6.113588213920593
5,4.0,0.5,56.64553499221802,54.87959098815918,0.2189523633569479,6.5174508690834045
6,4.0,0.6,55.81321668624878,55.06145000457764,0.2121808547526598,3.742178738117218
7,4.0,0.7,55.26675510406494,54.10044813156128,0.14655324537307024,3.8601914644241333
8,4.0,0.8,54.72811317443848,53.675673961639404,0.13252247590571642,3.048600137233734
9,4.0,0.9,54.19899845123291,53.10180902481079,0.1035868413746357,2.7338481843471527
10,4.0,1.0,54.23318099975586,52.843289375305176,0.08129781391471624,2.5010468661785126
11,4.0,1.1,53.88774585723877,51.89981937408447,0.08991638943552971,2.526386111974716
12,4.0,1.2,53.6516432762146,51.159748554229736,0.07941024843603373,2.3770591765642166
13,4.0,1.3,53.57665491104126,51.23340606689453,0.07444791030138731,1.9746525287628174
14,4.0,1.4,53.47628355026245,50.89461040496826,0.08690160047262907,1.9652241468429565
15,4.0,1.5,53.21825361251831,50.43464183807373,0.09235334862023592,1.8812886029481888
16,4.0,1.6,53.12212514877319,50.135934352874756,0.09561826288700104,1.6986610442399979
17,4.0,1.7,52.99670124053955,49.76339817047119,0.10823014657944441,1.6469972729682922
18,4.0,1.8,52.77445840835571,49.17892599105835,0.11063470505177975,1.561731904745102
19,4.0,1.9,52.667442321777344,48.965107917785645,0.1282691042870283,1.589994415640831
20,4.0,2.0,52.64210224151611,48.69611358642578,0.1425932887941599,1.5438335090875626
21,4.0,2.1,52.41958808898926,48.1808762550354,0.1577966045588255,1.5286523401737213
22,4.0,2.2,52.29953670501709,47.64637279510498,0.18301325105130672,1.5944840759038925
23,4.0,2.3,52.32858753204346,47.58439636230469,0.17915069311857224,1.5176763832569122
24,4.0,2.4,52.1586651802063,47.4386100769043,0.2088206447660923,1.4946459382772446
25,4.0,2.5,52.01621150970459,47.285672187805176,0.24354998394846916,1.5038878172636032
26,4.0,2.6,52.229907512664795,46.985262393951416,0.2397787906229496,1.5758316367864609
27,4.0,2.7,51.76137113571167,47.0496039390564,0.266527833417058,1.4810658395290375
28,4.0,2.8,51.629698753356934,46.81770849227905,0.2722573485225439,1.449042171239853
29,4.0,2.9,51.68703079223633,46.56146192550659,0.2869738508015871,1.4606366902589798
30,4.0,3.0,51.49533653259277,46.327513217926025,0.2806613799184561,1.4164191633462906
31,4.0,3.1,51.39995241165161,46.825907707214355,0.3008695989847183,1.3174094557762146
